Station ID,GTFS Stop ID,Line,Stop Name,Daytime Routes,Railroad north descriptor,Railroad south descriptor,Notes
381,406,Jerome Av,Kingsbridge Rd,4,Woodlawn,Manhattan,
382,407,Jerome Av,Fordham Rd,4,Woodlawn,Manhattan,
383,408,Jerome Av,183 St,4,Woodlawn,Manhattan,
384,409,Jerome Av,Burnside Av,4,Woodlawn,Manhattan,
385,410,Jerome Av,176 St,4,Woodlawn,Manhattan,
386,411,Jerome Av,Mt Eden Av,4,Woodlawn,Manhattan,
387,412,Jerome Av,170 St,4,Woodlawn,Manhattan,
388,413,Jerome Av,167 St,4,Woodlawn,Manhattan,
389,414,Jerome Av,161 St - Yankee Stadium,4,Woodlawn,Manhattan,
390,415,Jerome Av,149 St - Grand Concourse,4,Woodlawn,Manhattan,
391,416,Jerome Av,138 St - Grand Concourse,4 5,Woodlawn - Eastchester Dyre Av,Manhattan,
392,621,Lexington - Shuttle,125 St,4 5 6,The Bronx,Downtown & Brooklyn,
393,622,Lexington - Shuttle,116 St,6,Uptown & The Bronx,Downtown,
394,623,Lexington - Shuttle,110 St,6,Uptown & The Bronx,Downtown,
395,624,Lexington - Shuttle,103 St,6,Uptown & The Bronx,Downtown,
396,625,Lexington - Shuttle,96 St,6,Uptown & The Bronx,Downtown,
397,626,Lexington - Shuttle,86 St,4 5 6,Uptown & The Bronx,Downtown & Brooklyn,
398,627,Lexington - Shuttle,77 St,6,Uptown & The Bronx,Downtown,
399,628,Lexington - Shuttle,68 St - Hunter College,6,Uptown & The Bronx,Downtown,
400,629,Lexington - Shuttle,59 St,4 5 6,Uptown & The Bronx,Downtown & Brooklyn,
401,630,Lexington - Shuttle,51 St,6,Uptown & The Bronx,Downtown,
402,631,Lexington - Shuttle,Grand Central - 42 St,4 5 6,Uptown & The Bronx,Downtown & Brooklyn,
403,632,Lexington - Shuttle,33 St,6,Uptown & The Bronx,Downtown,
404,633,Lexington - Shuttle,28 St,6,Uptown & The Bronx,Downtown,
405,634,Lexington - Shuttle,23 St,6,Uptown & The Bronx,Downtown,
406,635,Lexington - Shuttle,14 St - Union Sq,4 5 6,Uptown & The Bronx,Downtown & Brooklyn,
407,636,Lexington - Shuttle,Astor Pl,6,Uptown & The Bronx,Downtown,
408,637,Lexington - Shuttle,Bleecker St,6,Uptown & The Bronx,Downtown,
409,638,Lexington - Shuttle,Spring St,6,Uptown & The Bronx,Downtown,
410,639,Lexington - Shuttle,Canal St,6,Uptown & The Bronx,Downtown,
411,640,Lexington - Shuttle,Brooklyn Bridge - City Hall,4 5 6,Uptown & The Bronx,Downtown & Brooklyn,
412,418,Lexington - Shuttle,Fulton St,4 5,Uptown & The Bronx,Downtown & Brooklyn,
413,419,Lexington - Shuttle,Wall St,4 5,Uptown & The Bronx,Downtown & Brooklyn,
414,420,Lexington - Shuttle,Bowling Green,4 5,Uptown & The Bronx,Brooklyn,
415,423,Eastern Pky,Borough Hall,4 5,Manhattan,Flatbush - Utica,
416,201,Lenox - White Plains Rd,Wakefield - 241 St,2,n/a,Manhattan,
417,204,Lenox - White Plains Rd,Nereid Av,2 5,Wakefield - 241 St,Manhattan,
418,205,Lenox - White Plains Rd,233 St,2 5,Wakefield - 241 St,Manhattan,
419,206,Lenox - White Plains Rd,225 St,2 5,Wakefield - 241 St,Manhattan,
420,207,Lenox - White Plains Rd,219 St,2 5,Wakefield - 241 St,Manhattan,
421,208,Lenox - White Plains Rd,Gun Hill Rd,2 5,Wakefield - 241 St,Manhattan,
422,209,Lenox - White Plains Rd,Burke Av,2 5,Wakefield - 241 St,Manhattan,
423,210,Lenox - White Plains Rd,Allerton Av,2 5,Wakefield - 241 St,Manhattan,
424,211,Lenox - White Plains Rd,Pelham Pkwy,2 5,Wakefield - 241 St,Manhattan,
425,212,Lenox - White Plains Rd,Bronx Park East,2 5,Wakefield - 241 St,Manhattan,
426,213,Lenox - White Plains Rd,E 180 St,2 5,Wakefield - Eastchester,Manhattan,
427,214,Lenox - White Plains Rd,West Farms Sq - E Tremont Av,2 5,Wakefield - Eastchester,Manhattan,
428,215,Lenox - White Plains Rd,174 St,2 5,Wakefield - Eastchester,Manhattan,
429,216,Lenox - White Plains Rd,Freeman St,2 5,Wakefield - Eastchester,Manhattan,
430,217,Lenox - White Plains Rd,Simpson St,2 5,Wakefield - Eastchester,Manhattan,
431,218,Lenox - White Plains Rd,Intervale Av,2 5,Wakefield - Eastchester,Manhattan,
432,219,Lenox - White Plains Rd,Prospect Av,2 5,Wakefield - Eastchester,Manhattan,
433,220,Lenox - White Plains Rd,Jackson Av,2 5,Wakefield - Eastchester,Manhattan,
434,221,Lenox - White Plains Rd,3 Av - 149 St,2 5,Wakefield - Eastchester,Manhattan,
435,222,Lenox - White Plains Rd,149 St - Grand Concourse,2 5,Wakefield - Eastchester,Manhattan,
436,301,Lenox - White Plains Rd,Harlem - 148 St,3,n/a,Downtown & Brooklyn,
437,302,Lenox - White Plains Rd,145 St,3,148 St,Downtown & Brooklyn,
438,224,Lenox - White Plains Rd,135 St,2 3,Uptown & The Bronx,Downtown & Brooklyn,
439,225,Lenox - White Plains Rd,125 St,2 3,Uptown & The Bronx,Downtown & Brooklyn,
440,226,Lenox - White Plains Rd,116 St,2 3,Uptown & The Bronx,Downtown & Brooklyn,
441,227,Lenox - White Plains Rd,Central Park North (110 St),2 3,Uptown & The Bronx,Downtown & Brooklyn,
442,501,Dyre Av,Eastchester - Dyre Av,5,n/a,Manhattan,
443,502,Dyre Av,Baychester Av,5,Eastchester - Dyre Av,Manhattan,
444,503,Dyre Av,Gun Hill Rd,5,Eastchester - Dyre Av,Manhattan,
445,504,Dyre Av,Pelham Pkwy,5,Eastchester - Dyre Av,Manhattan,
446,505,Dyre Av,Morris Park,5,Eastchester - Dyre Av,Manhattan,
447,701,Flushing,Flushing - Main St,7,n/a,Manhattan,
448,702,Flushing,Mets - Willets Point,7,Flushing,Manhattan,
449,705,Flushing,111 St,7,Flushing,Manhattan,
450,706,Flushing,103 St - Corona Plaza,7,Flushing,Manhattan,
451,707,Flushing,Junction Blvd,7,Flushing,Manhattan,
452,708,Flushing,90 St - Elmhurst Av,7,Flushing,Manhattan,
453,709,Flushing,82 St - Jackson Hts,7,Flushing,Manhattan,
454,710,Flushing,74 St - Broadway,7,Flushing,Manhattan,
455,711,Flushing,69 St,7,Flushing,Manhattan,
456,712,Flushing,Woodside - 61 St,7,Flushing,Manhattan,
457,713,Flushing,52 St,7,Flushing,Manhattan,
458,714,Flushing,46 St,7,Flushing,Manhattan,
459,715,Flushing,40 St,7,Flushing,Manhattan,
460,716,Flushing,33 St,7,Flushing,Manhattan,
461,718,Flushing,Queensboro Plaza,7 N W,Astoria - Flushing,Manhattan,
461,R09,Flushing,Queensboro Plaza,7 N W,Astoria - Flushing,Manhattan,
462,719,Flushing,Court Sq,7,Flushing,Manhattan,
463,720,Flushing,Hunters Point Av,7,Flushing,Manhattan,
464,721,Flushing,Vernon Blvd - Jackson Av,7,Flushing,Manhattan,
465,723,Flushing,Grand Central - 42 St,7,Queens,34 St - Hudson Yards,
466,724,Flushing,5 Av,7,Queens,34 St - Hudson Yards,
467,725,Flushing,Times Sq - 42 St,7,Queens,34 St - Hudson Yards,
468,902,Lexington - Shuttle,Times Sq - 42 St,S,n/a,Grand Central,
469,901,Lexington - Shuttle,Grand Central - 42 St,S,Times Sq,n/a,
471,726,Flushing,34 St - 11 Av,7,Queens,n/a,
475,Q05,Second Av,96 St,Q,n/a,Downtown & Brooklyn,
476,Q04,Second Av,86 St,Q,Uptown,Downtown & Brooklyn,
477,Q03,Second Av,72 St,Q,Uptown,Downtown & Brooklyn,
501,S31,Staten Island,St George,SIR,n/a,Tottenville,
502,S30,Staten Island,Tompkinsville,SIR,St George,Tottenville,
503,S29,Staten Island,Stapleton,SIR,St George,Tottenville,
504,S28,Staten Island,Clifton,SIR,St George,Tottenville,
505,S27,Staten Island,Grasmere,SIR,St George,Tottenville,
506,S26,Staten Island,Old Town,SIR,St George,Tottenville,
507,S25,Staten Island,Dongan Hills,SIR,St George,Tottenville,
508,S24,Staten Island,Jefferson Av,SIR,St George,Tottenville,
509,S23,Staten Island,Grant City,SIR,St George,Tottenville,
510,S22,Staten Island,New Dorp,SIR,St George,Tottenville,
511,S21,Staten Island,Oakwood Heights,SIR,St George,Tottenville,
512,S20,Staten Island,Bay Terrace,SIR,St George,Tottenville,
513,S19,Staten Island,Great Kills,SIR,St George,Tottenville,
514,S18,Staten Island,Eltingville,SIR,St George,Tottenville,
515,S17,Staten Island,Annadale,SIR,St George,Tottenville,
516,S16,Staten Island,Huguenot,SIR,St George,Tottenville,
517,S15,Staten Island,Prince's Bay,SIR,St George,Tottenville,
518,S14,Staten Island,Pleasant Plains,SIR,St George,Tottenville,
519,S13,Staten Island,Richmond Valley,SIR,St George,Tottenville,
522,S09,Staten Island,Tottenville,SIR,St George,n/a,
523,S11,Staten Island,Arthur Kill,SIR,St George,Tottenville,
